
[legalize_heu] multi-pass local move
  Tier 0 bbox_center=(134.00, 134.00)
    [move_apply] module_id=42 center=(48.5, 63.5) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=69 center=(84, 13.5) dx=1.5 dy=-10 rot90=0 weight=432
    [move_apply] module_id=11 center=(85.5, 147.5) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=89 center=(69.5, 109) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=92 center=(94, 57) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=39 center=(113.42, 91) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=18 center=(135, 39.5) dx=1.5 dy=0 rot90=0 weight=432
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=81 center=(135, 181) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=22 center=(147.5, 135.5) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=47 center=(187.5, 175.319) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=66 center=(192.5, 32.5) dx=1.5 dy=0 rot90=0 weight=432
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=432
  Tier 2 [right->left] init_w=54.00 mul=8.00 side_bias=0.00(axis=1)
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=66 center=(191.5, 30.5) dx=-1 dy=-2 rot90=0 weight=432
    [move_apply] module_id=47 center=(187.5, 175.319) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=22 center=(147.5, 135.5) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=18 center=(134, 39.5) dx=-1 dy=0 rot90=0 weight=432
    [move_apply] module_id=81 center=(135, 181) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=39 center=(113.42, 91) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=11 center=(85.5, 147.5) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=69 center=(83, 23.5) dx=-1 dy=10 rot90=0 weight=432
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=92 center=(94, 57) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=89 center=(69.5, 109) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=42 center=(48.5, 63.5) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=43 center=(30.5, 202.12) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=65 center=(28, 150.62) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=4 center=(9.5, 107.62) dx=0 dy=0 rot90=0 weight=432
    [move_apply] module_id=56 center=(8.5, 61.6197) dx=0 dy=0 rot90=0 weight=432
  Tier 2 [bottom->top] init_w=162.00 mul=8.00 side_bias=-0.00(axis=2)
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=66 center=(191.5, 30.5) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=69 center=(84, 13.5) dx=1 dy=-10 rot90=0 weight=1296
    [move_apply] module_id=18 center=(134, 39.5) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=56 center=(8.5, 61.6197) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=42 center=(48.5, 63.5) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=92 center=(94, 57) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=39 center=(113.42, 91) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=89 center=(69.5, 109) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=4 center=(9.5, 107.62) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=22 center=(147.5, 135.5) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=65 center=(28, 150.62) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=11 center=(85.5, 147.5) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=81 center=(135, 181) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=47 center=(187.5, 175.319) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=43 center=(30.5, 202.12) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=1296
  Tier 2 [top->bottom] init_w=162.00 mul=8.00 side_bias=0.00(axis=2)
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=43 center=(30.5, 202.12) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=81 center=(135, 181) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=47 center=(187.5, 175.319) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=65 center=(28, 150.62) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=11 center=(85.5, 147.5) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=22 center=(147.5, 135.5) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=89 center=(69.5, 109) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=4 center=(9.5, 107.62) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=39 center=(113.42, 91) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=56 center=(8.5, 61.6197) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=42 center=(48.5, 63.5) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=92 center=(94, 57) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=18 center=(134, 39.5) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=66 center=(191.5, 30.5) dx=0 dy=0 rot90=0 weight=1296
    [move_apply] module_id=69 center=(83, 23.5) dx=-1 dy=10 rot90=0 weight=1296
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=1296
  Tier 2 [shake rotations]
    [shake_rot] module_id=43 new_size=(46x61) center=(30.5, 202.12)
    [shake_rot] module_id=64 new_size=(47x50) center=(86, 199.5)
    [shake_rot] module_id=74 new_size=(38x42) center=(25.5667, 247)
    [shake_rot] module_id=92 new_size=(16x26) center=(94, 57)
  Tier 2 [iter=1] shake rotated=4 modules
  Tier 2 [iter=2] running sweeps (h-first)
  Tier 2 [near->far] init_w=4.00 mul=6.00 side_bias=0.00(axis=0)
    [move_apply] module_id=22 center=(147.5, 135.5) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=81 center=(135, 181) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=39 center=(113.42, 92.5) dx=0 dy=1.5 rot90=0 weight=24
    [move_apply] module_id=11 center=(85.5, 147.5) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=47 center=(187.5, 175.319) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=89 center=(69.5, 109) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=1 weight=24
    [move_apply] module_id=92 center=(94, 57) dx=0 dy=0 rot90=1 weight=24
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=18 center=(134, 39.5) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=65 center=(28, 143.12) dx=0 dy=-7.5 rot90=0 weight=24
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=42 center=(48.5, 63.5) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=66 center=(191.5, 30.5) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=69 center=(83, 23.5) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=43 center=(30.5, 200) dx=0 dy=-2.1197 rot90=1 weight=24
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=4 center=(14.5, 105.12) dx=5 dy=-2.5 rot90=1 weight=24
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=56 center=(8.5, 61.6197) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=24
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=24
  Tier 2 [left->right] init_w=12.00 mul=6.00 side_bias=-0.00(axis=1)
    [move_apply] module_id=4 center=(14.5, 105.12) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=43 center=(30.5, 200) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=56 center=(8.5, 61.6197) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=65 center=(28, 143.12) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=42 center=(48.5, 63.5) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=11 center=(85.5, 147.5) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=69 center=(84, 13.5) dx=1 dy=-10 rot90=0 weight=72
    [move_apply] module_id=89 center=(69.5, 109) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=92 center=(94, 57) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=39 center=(113.42, 92.5) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=18 center=(135, 41) dx=1 dy=1.5 rot90=0 weight=72
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=81 center=(135, 181) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=22 center=(147.5, 135.5) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=47 center=(187.5, 175.319) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=66 center=(192.5, 30.5) dx=1 dy=0 rot90=0 weight=72
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=72
  Tier 2 [right->left] init_w=12.00 mul=6.00 side_bias=0.00(axis=1)
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=66 center=(191.5, 30.5) dx=-1 dy=0 rot90=0 weight=72
    [move_apply] module_id=47 center=(187.5, 175.319) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=22 center=(147.5, 135.5) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=18 center=(134, 41) dx=-1 dy=0 rot90=0 weight=72
    [move_apply] module_id=81 center=(135, 181) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=39 center=(113.42, 92.5) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=11 center=(85.5, 147.5) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=69 center=(83, 23.5) dx=-1 dy=10 rot90=0 weight=72
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=92 center=(94, 57) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=89 center=(69.5, 109) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=42 center=(48.5, 63.5) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=43 center=(30.5, 200) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=65 center=(28, 143.12) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=4 center=(14.5, 105.12) dx=0 dy=0 rot90=0 weight=72
    [move_apply] module_id=56 center=(8.5, 61.6197) dx=0 dy=0 rot90=0 weight=72
  Tier 2 [bottom->top] init_w=36.00 mul=9.00 side_bias=-0.00(axis=2)
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=66 center=(191.5, 30.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=69 center=(84, 13.5) dx=1 dy=-10 rot90=0 weight=324
    [move_apply] module_id=18 center=(134, 41) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=56 center=(8.5, 61.6197) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=42 center=(48.5, 63.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=92 center=(94, 57) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=39 center=(113.42, 92.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=89 center=(69.5, 109) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=4 center=(14.5, 105.12) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=65 center=(28, 143.12) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=22 center=(147.5, 135.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=11 center=(85.5, 147.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=81 center=(135, 181) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=47 center=(187.5, 175.319) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=43 center=(30.5, 200) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=324
  Tier 2 [top->bottom] init_w=36.00 mul=9.00 side_bias=0.00(axis=2)
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=324
